Date,Temperature,Rainfall,Humidity,State
20190101,14.99,0.0,59.94,Odisha
20190102,15.84,0.0,59.88,Odisha
20190103,15.85,0.0,61.19,Odisha
20190104,16.4,0.0,56.69,Odisha
20190105,17.04,0.0,55.26,Odisha
20190106,17.45,0.0,57.12,Odisha
20190107,18.33,0.0,54.02,Odisha
20190108,16.33,0.0,68.04,Odisha
20190109,16.6,0.0,61.8,Odisha
20190110,17.4,0.0,55.82,Odisha
20190111,16.57,0.0,68.1,Odisha
20190112,17.18,0.0,60.62,Odisha
20190113,18.21,0.0,61.72,Odisha
20190114,18.03,0.0,66.62,Odisha
20190115,17.8,0.0,62.16,Odisha
20190116,17.12,0.0,56.38,Odisha
20190117,17.67,0.0,50.08,Odisha
20190118,17.92,0.0,46.09,Odisha
20190119,17.92,0.0,47.6,Odisha
20190120,18.44,0.0,45.53,Odisha
20190121,19.17,0.0,47.75,Odisha
20190122,19.1,0.0,63.64,Odisha
20190123,19.53,0.0,71.56,Odisha
20190124,20.12,0.0,66.15,Odisha
20190125,19.6,0.0,63.65,Odisha
20190126,19.18,0.08,71.55,Odisha
20190127,18.17,0.28,77.21,Odisha
20190128,19.34,0.0,73.84,Odisha
20190129,18.15,0.0,57.31,Odisha
20190130,16.69,0.0,41.73,Odisha
20190131,17.88,0.0,44.21,Odisha
20190201,18.99,0.0,44.17,Odisha
20190202,20.35,0.0,38.2,Odisha
20190203,21.09,0.0,41.65,Odisha
20190204,20.89,0.0,47.1,Odisha
20190205,20.59,0.0,48.95,Odisha
20190206,22.18,0.0,48.85,Odisha
20190207,22.65,0.0,50.36,Odisha
20190208,22.83,0.45,65.42,Odisha
20190209,21.6,0.3,59.85,Odisha
20190210,18.77,0.0,40.47,Odisha
20190211,19.37,0.0,42.57,Odisha
20190212,20.52,0.0,39.14,Odisha
20190213,21.63,0.0,45.75,Odisha
20190214,22.43,0.0,48.89,Odisha
20190215,23.05,0.0,59.68,Odisha
20190216,22.6,9.12,68.29,Odisha
20190217,22.62,0.04,57.9,Odisha
20190218,21.6,0.0,39.76,Odisha
20190219,24.41,0.0,38.84,Odisha
20190220,25.23,0.0,58.99,Odisha
20190221,26.24,0.0,57.82,Odisha
20190222,27.25,0.0,44.73,Odisha
20190223,27.4,0.0,47.2,Odisha
20190224,27.09,0.04,46.76,Odisha
20190225,26.01,8.76,70.19,Odisha
20190226,25.96,4.81,68.12,Odisha
20190227,25.69,5.88,65.36,Odisha
20190228,23.52,2.54,61.82,Odisha
20190301,22.95,0.28,63.97,Odisha
20190302,23.13,0.0,60.27,Odisha
20190303,24.58,0.0,62.51,Odisha
20190304,26.7,0.28,66.39,Odisha
20190305,27.18,0.82,61.27,Odisha
20190306,27.04,0.35,64.89,Odisha
20190307,25.78,0.01,59.34,Odisha
20190308,25.2,0.0,48.92,Odisha
20190309,25.73,0.0,44.04,Odisha
20190310,27.02,0.0,58.09,Odisha
20190311,28.34,0.0,54.02,Odisha
20190312,28.99,0.0,53.84,Odisha
20190313,30.51,0.0,46.93,Odisha
20190314,30.03,2.47,52.96,Odisha
20190315,27.84,5.41,64.12,Odisha
20190316,28.71,0.58,54.53,Odisha
20190317,29.05,0.4,52.6,Odisha
20190318,26.68,13.66,62.98,Odisha
20190319,27.15,0.02,54.56,Odisha
20190320,27.97,0.24,50.36,Odisha
20190321,28.29,1.95,61.0,Odisha
20190322,29.35,1.5,49.08,Odisha
20190323,29.48,0.0,42.31,Odisha
20190324,28.96,0.0,31.83,Odisha
20190325,29.42,0.0,39.09,Odisha
20190326,29.24,0.0,46.05,Odisha
20190327,28.98,0.0,50.27,Odisha
20190328,28.72,0.0,38.67,Odisha
20190329,29.19,0.0,48.06,Odisha
20190330,30.5,0.0,41.72,Odisha
20190331,31.23,0.22,46.94,Odisha
20190401,31.74,1.44,39.77,Odisha
20190402,31.21,0.03,37.42,Odisha
20190403,31.11,0.0,33.09,Odisha
20190404,31.48,0.0,44.97,Odisha
20190405,32.5,0.0,37.11,Odisha
20190406,33.3,0.02,30.27,Odisha
20190407,32.81,0.27,37.22,Odisha
20190408,32.38,1.35,42.82,Odisha
20190409,31.78,3.26,44.16,Odisha
20190410,32.35,1.02,44.89,Odisha
20190411,32.75,0.12,39.86,Odisha
20190412,33.16,2.09,38.86,Odisha
20190413,33.91,0.16,30.52,Odisha
